name,lat,lng,evalu,review_cnt
アネックスチェックイン新橋,35.6660589,139.7556267,3.8,312
ＴＨＥ　ＨＯＴＥＬ　ＳＨＩＮＢＡＳＨＩ （ザ　ホテル新橋）,35.664036,139.757308,3.7,199
品川東武ホテル,35.6292229,139.7330475,3.6,653
ホテルリブマックス豊洲駅前,35.6528898,139.796817,3.6,218
くれたけインプレミアム浜松町,35.650879,139.7553047,3.5,18
Ｈｏｔｅｌ　ｏｗｌ　Ｔｏｋｙｏ　Ｓｈｉｎｂａｓｈｉ,35.665304,139.755994,3.5,351
ナインアワーズ品川駅 for men,35.6300683,139.7413325,3.6,29
わさび三田ホテル,35.6445379,139.7439072,3.5,36
東横ＩＮＮ品川駅高輪口,35.6264987,139.7374409,3.6,415
ホテルリブマックス汐留,35.6623298,139.7577355,3.2,6
ホテルリブマックスBUDGET新橋,35.6611936,139.7543784,3.1,597
アパホテル＆リゾート〈六本木駅東〉,35.661654,139.7375242,4.5,319
アパホテル〈六本木SIX〉,35.6662355,139.7373987,4.1,164
高濃度炭酸泉　茜草の湯　スーパーホテルPremier赤坂,35.6746188,139.7364068,4.6,696
アパホテルプライド〈赤坂国会議事堂前〉,35.6745985,139.7413511,4.3,89
ＪＲ西日本グループ　ヴィアインプライム赤坂＜茜音の湯＞,35.6726246,139.7390154,4.6,184
京王プレッソイン赤坂(2026年3月リニューアル),35.671319,139.736801,4.4,713
レム六本木,35.6637447,139.731269,4.4,57
ホテルニューオータニ　エグゼクティブハウス 禅,35.6814232,139.7340325,4.6,89
ホテルニューオータニ,35.68092012,139.7340568,4.3,2113
アパホテル〈永田町半蔵門駅前〉,35.6828953,139.7399813,4.1,664
ホテル　アジア会館,35.6704684,139.728046,4.4,1251
ホテル ルポール麹町（地方職員共済組合麹町会館）,35.681779,139.738677,4.4,1405
ホテルヒラリーズ赤坂,35.6736433,139.7378892,4.2,598
OMO3東京赤坂 by 星野リゾート,35.675022,139.7359607,4.3,61
オリンピックイン麻布,35.6519073,139.7368924,4.3,2122
ホテルモントレ赤坂,35.6755584,139.7327237,4.3,1857
アパホテル〈西麻布〉,35.6571216,139.7236242,4.1,171
東急ステイ青山プレミア,35.6688037,139.7169495,4.2,24
相鉄フレッサイン東京赤坂,35.6711793,139.7355285,4.1,571
都市センターホテル（リーガロイヤルホテルグループ）,35.68111,139.7386081,4.3,18
センチュリオンホテルグランド赤坂,35.675844,139.7361827,4.4,378
ホテルマイステイズプレミア赤坂,35.6702921,139.7386104,4.3,10
アパホテル〈赤坂見附〉,35.6759226,139.7361235,3.6,43
ファーストキャビン赤坂,35.6730268,139.7374354,4.3,459
変なホテル東京　赤坂,35.6721198,139.7391471,3.9,45
マロウドイン赤坂,35.669115,139.7326925,4.0,1144
【赤坂陽光ホテル】,35.669444,139.73308,4.0,1045
赤坂アーバンホテルアネックス(溜池山王駅前),35.670089,139.741644,4.4,100
センチュリオンホテルレジデンシャル赤坂,35.6737801,139.7378414,4.4,521
グランド ハイアット 東京,35.6600777,139.7283208,4.0,30
ホテルＳＵＩ赤坂　ｂｙ　ＡＢＥＳＴ,35.6703844,139.7378975,3.9,291
コンフォートイン東京六本木,35.6637618,139.7337569,4.2,173
アパホテル〈六本木駅前〉,35.6623173,139.7323214,3.8,27
the b 赤坂見附（ザビーあかさかみつけ）,35.6714763,139.7330338,4.0,1619
赤坂グランベルホテル,35.6755898,139.7370814,4.2,1261
ザ・センチュリオン　クラシック赤坂,35.6743564,139.7374927,4.2,150
ナインアワーズ赤坂,35.673917,139.7351193,4.2,79
ホテルグランドアーク半蔵門(運営：帝国ホテルグループ),35.6829909,139.7434002,4.0,994
the b 赤坂（ザビーあかさか）,35.6713895,139.732897,4.0,1891
フレックステイイン白金,35.6446994,139.7245937,4.0,10
CANDEO HOTELS（カンデオホテルズ）東京六本木,35.6620422,139.7325975,3.8,250
ANAインターコンチネンタルホテル東京 by IHG,35.6682896,139.7408307,3.5,1080
スゴイサウナ＆ステイ麻布十番駅前,35.6566612,139.7384418,4.0,11
サウナ＆キャビンテルマー湯西麻布,35.6583941,139.723053,3.8,26
相鉄フレッサイン東京六本木,35.6635363,139.7335601,3.5,219
ネストホテル東京半蔵門,35.6833128,139.7419786,3.4,6
赤坂の里Ｐｒｅｍｉｕｍ,35.6710403,139.7345469,2.6,5
アパホテル＆リゾート〈東京ベイ潮見〉,35.6578741,139.8189755,4.3,8858
ＪＲ東日本ホテルメッツ プレミア 東京ベイ新木場,35.6450888,139.8274907,4.7,690
ホテル イースト21東京　～オークラホテルズ＆リゾーツ～,35.6744837,139.8147033,4.5,2607
スーパーホテル東京・ＪＲ新小岩,35.7155215,139.8585953,4.3,846
スーパーホテル東京・亀戸,35.6990581,139.8227799,4.5,952
ザ・ワンファイブ東京亀戸,35.6992631,139.8251763,4.3,75
アパホテル〈東京西葛西駅前〉,35.6652115,139.8601093,4.6,37
京成リッチモンドホテル東京門前仲町,35.6728249,139.796505,4.3,267
東京イーストサイドホテル櫂会,35.6588637,139.8179957,4.4,417
カプセルホテル　レインボー総武線・葛飾区・新小岩店,35.7159905,139.861126,3.9,347
コンフォートホテル東京清澄白河,35.6822592,139.7996776,4.2,2303
アパホテル〈東京大島〉2025年8月客室設備リニューアル,35.688981,139.8213489,4.3,1519
東京ベイ潮見プリンスホテル,35.6598924,139.8171055,4.6,377
ホテル ルミエール西葛西,35.6624019,139.861326,4.5,3087
ホテルシーサイド江戸川,35.6428461,139.8594505,4.6,186
ホテルルートインＧｒａｎｄ東京東陽町,35.6677906,139.8168837,4.3,321
スマイルホテル東京新小岩,35.7181192,139.8584535,3.9,91
ホテル ルミエール葛西,35.6611987,139.8727023,4.6,2112
サイプレスイン東京,35.7172428,139.8570422,4.5,271
アパホテル＜ＴＫＰ東京西葛西＞,35.6641713,139.8601889,4.1,252
hotel MONday 東京西葛西,35.6644635,139.8581942,4.5,213
Ｌ　ｓｔａｙ＆ｇｒｏｗ　南砂町,35.6688596,139.835235,4.4,185
ワシントンＲ＆Ｂホテル東京東陽町,35.6694512,139.820222,4.1,818
hotel MONday Premium 豊洲,35.6490432,139.8011447,4.3,408
くれたけイン東京船堀,35.6846998,139.8631049,3.9,349
東横ＩＮＮ東西線木場駅,35.6705357,139.8062939,4.3,34
【変なホテル東京西葛西】シャトルバスで舞浜方面へ楽々アクセス,35.6366611,139.8814325,4.0,399
レンブラントスタイル東京西葛西グランデ,35.6624494,139.860366,4.1,230
瑞江第一ホテル,35.6934447,139.8969241,3.9,1031
相鉄フレッサイン東京東陽町駅前,35.670063,139.8176116,3.9,693
ホテルマイステイズ亀戸,35.6943512,139.828753,3.8,36
LYURO 東京清澄 by THE SHARE HOTELS,35.6812172,139.7920658,4.5,159
ホテルマイステイズ清澄白河,35.684418,139.79594,4.4,9
スマイルホテル東京綾瀬駅前,35.7612199,139.8244453,3.6,600
東横ＩＮＮ門前仲町永代橋,35.6751514,139.7911889,4.0,167
ホテルリブマックス東京潮見駅前,35.6583459,139.8183035,3.6,519
東横ＩＮＮ東西線西葛西,35.6646409,139.8619428,4.3,489
GRAND HOSTEL LDK 東京西葛西,35.6637649,139.8577262,4.3,18
スマイルホテル東京西葛西,35.6651854,139.8580462,3.2,2570
デイナイスホテル東京,35.6691875,139.8018476,3.6,595
東急ステイ門前仲町,35.6711181,139.7988408,3.6,811
スカイハートホテル京成小岩駅前,35.742846,139.8833909,3.5,22
ＢｕｍＢ東京スポーツ文化館,35.6490612,139.8300149,4.2,400
サウナ＆カプセルホテルニュー小岩３１０,35.7334228,139.879701,3.8,217
ビジネスホテル　レガート,35.6867823,139.8031245,3.6,5
オークホテル江戸,35.6879154,139.7989261,3.7,44
ホテル イルフィオーレ葛西 ANNEX,35.661311,139.8732233,3.5,40
ファミリーロッジ旅籠屋・東京新木場店,35.646195,139.836254,4.0,125
東京有明ＢＡＹ　ＨＯＴＥＬ,35.6393151,139.8051671,3.5,200
ホテルイルフィオーレ葛西,35.6628859,139.8746707,3.5,287
ホテルリブマックス葛西駅前,35.6607958,139.8732306,3.4,333
